iter	Passed	Remaining
556	4927	3918
557	4934	3908
558	4942	3899
559	4951	3890
560	4960	3881
561	4968	3872
562	4977	3863
563	4984	3853
564	4992	3843
565	5000	3834
566	5008	3824
567	5015	3814
568	5023	3804
569	5030	3794
570	5037	3784
571	5045	3775
572	5054	3766
573	5063	3757
574	5071	3748
575	5079	3738
576	5087	3729
577	5095	3719
578	5102	3710
579	5110	3700
580	5117	3690
581	5124	3680
582	5132	3670
583	5140	3662
584	5148	3652
585	5156	3642
586	5163	3633
587	5171	3623
588	5179	3614
589	5187	3605
590	5194	3594
591	5202	3585
592	5209	3575
593	5217	3566
594	5224	3556
595	5232	3546
596	5240	3537
597	5248	3528
598	5256	3518
599	5263	3509
600	5271	3500
601	5279	3490
602	5287	3481
603	5294	3471
604	5302	3462
605	5310	3452
606	5317	3442
607	5324	3433
608	5332	3423
609	5343	3416
610	5351	3407
611	5358	3397
612	5367	3388
613	5375	3379
614	5382	3369
615	5389	3359
616	5397	3350
617	5405	3341
618	5412	3331
619	5419	3321
620	5426	3312
621	5435	3303
622	5442	3293
623	5450	3284
624	5457	3274
625	5465	3265
626	5473	3256
627	5481	3247
628	5488	3237
629	5495	3227
630	5504	3219
631	5511	3209
632	5518	3199
633	5526	3190
634	5534	3181
635	5541	3171
636	5549	3162
637	5556	3152
638	5565	3144
639	5573	3135
640	5582	3126
641	5589	3116
642	5597	3107
643	5604	3098
644	5614	3089
645	5622	3081
646	5631	3072
647	5638	3062
648	5647	3054
649	5654	3044
650	5662	3035
651	5669	3026
652	5681	3018
653	5687	3009
654	5696	3000
655	5703	2990
656	5710	2981
657	5717	2971
658	5725	2962
659	5732	2953
660	5743	2945
661	5751	2936
662	5760	2928
663	5768	2918
664	5777	2910
665	5786	2902
666	5797	2894
667	5805	2885
668	5814	2876
669	5824	2868
670	5832	2859
671	5841	2851
672	5848	2841
673	5857	2833
674	5864	2823
675	5873	2814
676	5880	2805
677	5888	2796
678	5896	2787
679	5904	2778
680	5911	2769
681	5919	2760
682	5926	2750
683	5935	2742
684	5944	2733
685	5953	2724
686	5960	2715
687	5969	2706
688	5977	2698
689	5986	2689
690	5994	2680
691	6002	2671
692	6012	2663
693	6022	2655
694	6031	2646
695	6040	2638
696	6050	2630
697	6058	2621
698	6068	2613
699	6075	2603
700	6083	2594
701	6090	2585
702	6099	2576
703	6107	2568
704	6115	2559
705	6123	2550
706	6132	2541
707	6139	2532
708	6147	2523
709	6155	2514
710	6163	2505
711	6170	2496
712	6178	2486
713	6188	2478
714	6195	2469
715	6202	2460
716	6210	2451
717	6218	2442
718	6225	2433
719	6234	2424
720	6241	2415
721	6249	2406
722	6256	2397
723	6265	2388
724	6273	2379
725	6281	2370
726	6289	2361
727	6296	2352
728	6303	2343
729	6311	2334
730	6319	2325
731	6328	2316
732	6335	2307
733	6343	2298
734	6350	2289
735	6358	2280
736	6365	2271
737	6372	2262
738	6382	2254
739	6389	2244
740	6396	2235
741	6403	2226
742	6411	2217
743	6418	2208
744	6427	2200
745	6435	2191
746	6443	2182
747	6450	2173
748	6458	2164
749	6466	2155
750	6474	2146
751	6481	2137
752	6488	2128
753	6495	2119
754	6502	2110
755	6510	2101
756	6518	2092
757	6527	2083
758	6534	2074
759	6542	2066
760	6550	2057
761	6558	2048
762	6565	2039
763	6573	2030
764	6581	2021
765	6590	2013
766	6597	2004
767	6605	1995
768	6613	1986
769	6620	1977
770	6628	1968
771	6636	1959
772	6644	1951
773	6652	1942
774	6660	1933
775	6667	1924
776	6675	1915
777	6682	1906
778	6689	1897
779	6697	1888
780	6706	1880
781	6713	1871
782	6721	1862
783	6728	1853
